Item_Identifier,Item_Outlet_Sales,Outlet_Identifier
FDW58,1787.7360320070136,OUT049
FDW14,1618.2504244276902,OUT017
NCN55,2072.1998487178007,OUT010
FDQ58,2050.1620623956005,OUT017
FDY38,5222.3879418142915,OUT027
FDH56,1781.073024613893,OUT046
FDL48,665.9564173030165,OUT018
FDC48,2891.6013797264336,OUT027
FDN33,1538.5367069261922,OUT045
FDA36,2374.686081842572,OUT017
FDT44,1846.9921405815085,OUT017
FDQ56,1477.113335712767,OUT045
NCC54,2134.610369980216,OUT019
FDU11,1910.2766872804932,OUT049
DRL59,979.9371704347852,OUT013
FDM24,2526.179531411687,OUT049
FDI57,3532.516430244498,OUT045
DRC12,2485.6447258794688,OUT018
NCM42,3086.651958535622,OUT027
FDA46,1760.0559919508682,OUT010
FDA31,2645.5135007937033,OUT013
NCJ31,4005.137762471348,OUT035
FDG52,859.1129283318511,OUT046
NCL19,582.1109181901973,OUT019
FDS10,2773.4606403162843,OUT035
FDX22,1942.0266847147009,OUT010
NCF19,1045.5015808214982,OUT035
NCE06,1688.3854276296422,OUT046
DRC27,3121.1799526835784,OUT046
FDE21,2341.6844913205287,OUT035
NCR42,-1002.1509062319997,OUT019
FDX51,2529.5085013231355,OUT018
NCR06,596.0869263968015,OUT018
FDU31,5139.046080730824,OUT027
FDU59,3430.4121646274007,OUT017
FDR03,4982.97875258001,OUT027
FDS49,2844.5933918943106,OUT027
FDD48,-29.427479622376723,OUT010
NCF18,3661.0702292146902,OUT017
NCD43,2651.0376755107186,OUT027
NCD54,2151.810775941598,OUT018
FDY19,423.2318516275334,OUT010
NCY54,3496.4032762569923,OUT017
NCL19,2137.4927779015934,OUT018
FDP23,1944.3326895033629,OUT010
FDC26,1372.8679177424979,OUT013
FDR14,-858.1915411846107,OUT010
NCS41,2340.074162850115,OUT035
FDF41,4092.0357346401393,OUT035
FDU34,2228.2067898451332,OUT046
DRH11,962.6862747267746,OUT046
FDM03,1614.9064038722022,OUT013
FDS31,2676.272146308801,OUT017
FDJ20,1919.9065401005814,OUT017
FDV44,4077.0978600753533,OUT027
FDG02,2387.7829052516927,OUT049
FDA09,3482.7102044541084,OUT013
FDT04,798.1823126962344,OUT013
FDL58,2279.1163788403815,OUT019
FDE52,2739.5558922113796,OUT045
FDW12,2111.8102180381907,OUT035
FDL51,3013.517739923981,OUT017
NCY42,3753.5045764680217,OUT027
FDR07,1347.2609324062155,OUT017
FDN40,2339.721607066687,OUT045
FDB35,2969.999364354987,OUT027
FDA22,3434.42711694344,OUT017
NCL06,3219.97633741136,OUT046
FDI35,3507.3056791225536,OUT013
NCW42,2881.52307213974,OUT045
NCX06,2772.933772508484,OUT049
FDC37,3093.1964081095243,OUT027
FDZ14,2011.0665259235698,OUT018
DRG49,4052.420597615206,OUT049
NCG06,3942.4029739691405,OUT045
DRC36,3384.8974952483036,OUT045
FDV21,-7.379391558711632,OUT019
FDB53,3193.668877690561,OUT046
DRP47,2174.0529550860883,OUT019
FDA14,1594.9097153344846,OUT013
DRC24,3434.599523197204,OUT035
FDW21,1374.962150591417,OUT018
NCH29,1593.0550825248513,OUT046
FDU58,2742.7762573601167,OUT013
FDY27,2682.0548914950814,OUT017
FDV56,1484.4368125607953,OUT035
FDT59,3820.8049093540635,OUT046
FDB23,3798.1636014824326,OUT046
FDR49,777.3286940736301,OUT045
FDB03,2124.535695081883,OUT010
FDN39,2490.780293432934,OUT045
FDX02,5127.176488111159,OUT027
FDQ16,3513.6440074079424,OUT027
FDU35,1326.8974557268073,OUT018
NCT29,1845.1962891401804,OUT013
FDZ27,839.2785510186918,OUT046
FDN57,2472.6532614031084,OUT017
FDA03,2146.6423338303407,OUT018
FDZ36,3457.587066590533,OUT045
NCU05,1165.3570454033916,OUT013
FDT39,2236.0712332399667,OUT018
FDK60,1671.6284116366578,OUT017
FDZ25,2639.7928583524726,OUT017
FDG12,2157.7262993745776,OUT046
DRB01,473.6945281322204,OUT019
NCC43,4482.912080942917,OUT027
FDX13,2175.3806960582388,OUT019
FDM22,1033.4224038237398,OUT049
FDJ03,2273.1441893246374,OUT027
FDU14,3707.955942372869,OUT018
FDB33,763.1463078494493,OUT010
FDP27,2716.508839642263,OUT046
FDO38,-695.9188479511076,OUT010
FDE28,4347.492376778628,OUT027
FDO27,1728.5806420348645,OUT035
DRL23,3084.369597428891,OUT027
FDS28,944.0020664036354,OUT046
FDX24,1610.356374213885,OUT013
FDZ02,1388.9328701990223,OUT035
FDL46,1319.5098551317942,OUT045
FDS60,4019.1279371590417,OUT027
NCO06,870.6521233365976,OUT017
FDO16,1686.5967839492698,OUT035
FDC60,1281.6923150220816,OUT049
FDA48,3478.606636622974,OUT018
FDZ36,4872.359893388172,OUT027
FDK27,1751.4336077647572,OUT045
FDW23,576.4040666875371,OUT018
FDM14,1901.558992261031,OUT018
FDM14,2176.0316257263485,OUT013
FDW60,3210.3367286181096,OUT018
FDE21,2242.919760632014,OUT013
NCM42,1856.2909392323766,OUT035
FDY59,-606.4627394000288,OUT010
DRI49,1574.2293688106201,OUT049
FDT28,676.8203756168492,OUT019
FDQ22,574.1039828718506,OUT018
FDR60,1158.5758480030854,OUT049
FDC50,-207.1692929199403,OUT019
FDV24,1980.6889604808664,OUT013
DRF48,654.6043264100119,OUT010
FDQ47,799.8322790322704,OUT046
DRN36,1710.662765407113,OUT049
NCY06,2423.2628694151927,OUT035
FDE52,2929.95344038068,OUT035
NCB54,1783.3697080987085,OUT045
NCF31,2159.4987329262226,OUT035
FDJ08,4078.7431713156593,OUT027
NCC07,1808.5641993758486,OUT017
NCD19,2197.092277236733,OUT027
FDL46,1476.6705218759903,OUT049
FDM20,3855.279108410509,OUT045
NCI06,1713.8257390024946,OUT010
DRM11,4170.6452596968775,OUT035
NCH07,2256.333195065451,OUT018
FDS23,1880.1535580389361,OUT013
FDO49,643.1611590571033,OUT018
FDS35,1082.7675302060666,OUT049
DRK39,1412.2308758632958,OUT045
DRI39,1062.5787531760693,OUT049
FDV04,2145.9357871308853,OUT017
